Play,Genre,Year,Playwright,Act & Scene,Character ,Gender ,Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5 - Notes,Topic 6,Topic 7
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,MAke thy selfe lesse Philotas then thou art,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,Must I be then set vnderneath my hart?,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,Shall I let go the holde I haue of grace,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"[the grace] Gaynd with so hard aduentures of my bloud, And suffer others mount into my place, And from below, looke vp to where I stood?",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"As if such men as I, had any place, To stay betwixt their ruine, and their grace.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"Can any go beyond me, but they will Goe ouer me, and trample on my state,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"make their fortune good vpon my ill, Whilst feare hath powre to wound me worse the? hate?",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,can I shake off the zeale Of such as do out of their kindnesses Follow my fortunes in the common-weale.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas & Chalisthenes,Male,"but I find their loue to me sincere.  - Euen such as to the Wolfe the Fox doth beare, That visits him but to pertake his pray, And seeing his hopes deceiu'd turnes to betray.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas & Chalisthenes,Male,"Runne vnto me, with hazard of their bloud.  - Yea like as men to burning houses run, Not to lend ayde, but to be lookers on.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"But I with bountie, and with gifts haue tyde Their harts so sure, I know, they will not slide.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"But I do truly from my hart affect Vertue and worth, where I do finde it set:",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"I must arme me thus against their scornes, ",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"Men must be shodd, that go among the thornes.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Chalisthenes,Male,"good Philotas you your selfe beguile, Tis not the way to quench the fire with oyle.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Chalisthenes,Male,"The meeke and humble Lambe with small adoo, Sucks his owne dam, we see, and others too.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Chalisthenes & Philotas,Male,"In Courtes men longest liue and keepe their rankes, By taking iniuries, and giuing thankes. - And is it so? then neuer are these haires, Like to attaine that sober hew of gray,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"I cannot plaster and disguise m'affaires, In other coulours then my hart doth lay.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"Nor can I patiently indure this fond And strange proceeding of authoritie, That hath ingrost vp all into their hand, By idol living feeble maiestie.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"The Solderie ingag'd to vent their bloud,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"In worse case seeme then Pallas old-growne Moyle,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,these poore soules consum'd with tedious toile,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,And nothing shall bring home of all these wars But emptie age and bodies chardgd with skarres.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Chalisthenes,Male,You with a finger can point out the staynes Of others errors now,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Chalisthenes,Male,Your fortune then viewes things with other eyes.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Chalisthenes,Male,For either greatnesse doth transforme the hart Int'other shapes of thoughts,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Chalisthenes,Male,"And therefore now Philotas euen as good Timbrace the times, as swell, and do no good.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,I do skorne to climb By shaking hands with this vnworthy time.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Chalisthenes,Male,"The time, Philotas then will break thy neck.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"myne honor, as it shall Make good the place my deedes haue purchased With daunger, in the loue, and harts of all,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Chalisthenes,Male,"Those seruices, will serue as waights to charge And presse you vnto death,  if your foot faile neuer so little vnderneath your charge",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Chalisthenes,Male,These times want not men to supply the state.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas & Chalisthenes,Male,I feare not whilst Parmenios forces stand.  - Water far off quenches not fire neere hand.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Chalisthenes,Male,"therefore do not build vppon such sand It will deceiue your hopes,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Chalisthenes,Male,"When running with the current of the state,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Chalisthenes,Male,"He that will fret at Lords, and at the raine, Is but a foole, ",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Chalisthenes,Male,"Now good my Lord conforme you to the rest, Let not your wings be greater then your nest.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"See how these vain discoursiue Booke-men talke, Out of those shadows of their ayerie powres,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"see how much they [book-men] must defalk Of their accounts, to make them gree with ours.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,They thinke we can command our harts to lye Out of their place:,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"still they preach to vs Pack-bearing Patience, that base property and silly gift of th'all induring Ass.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"But let them talke their fill, it is but wind,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Philotas,Male,"I must sayle by the compasse of my minde,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Cebalinus,Male,"the deepest secrets of my hart, My hart that hath no lock shut against thee, Would let it out some-times vnwares of me.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Cebalinus,Male,"But as it [the secret] issues from my faithfull loue, So close it vp in thine [heart], and keepe it fast:",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Cebalinus,Male,"To free their labours and redeeme them home,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Cebalinus,Male,O God forbid Mine oath should tie my tongue to keepe in this.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Cebalinus,Male,"drawing back his breath, Or els his breath confounded with his thoughts Busied with death and horror, could not worke,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Cebalinus,Male,"his feares were runne before, And at misfortune ere she came to him.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Cebalinus,Male,"when his reason had reduc'd His flying thoughts back to some certaine stand,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Cebalinus,Male,"Perceiuing yet some distance was betwixt Death and his feares which gaue him time to worke,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 1",Cebalinus,Male,"He takes his sworde, and sweares to sacrifice To silence and their cause, his dearest bloud.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Antigona,Female,WHat can a free estate afford me more Then my incaptiu'd fortune doth allow?,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Antigona,Female,"My loue was then aboue mee, I am now Aboue my loue.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Antigona,Female,grac'd by all The flowre of honour els,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Antigona,Female,warm'd with honor of his good Successe.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Antigona,Female,"we fight, toyle, win. To make that yong-man proud, thus is he borne: Vpon the winges of our disartes,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Antigona,Female,our bloud Setts him aboue himselfe,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Antigona,Female,raisd the greatest peece Of this proud worke which now he treads vpon.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Antigona,Female,blesse the howre t'haue knowne Philotas bed.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Thais,Female,"Now haue I that which I desired long Layd in my lap by this fond woman here,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Thais,Female,I must confesse t'haue lou'd And vs'd all th'ingins of these conquering eyes Affections in his hy-built hart t'haue mou'd,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Thais,Female,for what my labour seekes I see is lost vppon vaine ignorance.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Thais,Female,"Out of this garnish of his worthy parts Is falne vpon this foolish Persian,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Thais,Female,"Out of the humour of their iollities The smoake of their ambition must haue vent, And out it comes what rackes should not reuaile,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Thais,Female,"For this her humour hath so much of wind, That it will burst it selfe if too close pent,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Thais,Female,Alexander in the greatest state The earth did euer see him,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Thais,Female,There where this tongue obtained for her merit Eternitie of fame,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Thais,Female,"there where these hands Did write in fire the glorie of my spirit, And set a trophey that for euer stands.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Thais,Female,"Thaeis she that fir'd The stareliest Pallace th'earth did euer see, ",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Thais,Female,"Darius house that to the clouds aspir'd,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Chorus,Male,"WE as the Chorus of the vulgar, stand Spectators here, to see these great men play Their parts both of obedience and command,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Chorus,Male," though we know not, what they do within, Where they attire, their misteries of state:",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Chorus,Male,"We see affliction act a better scene, Then prosperous fortune which hath marr'd it cleane.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Chorus,Male,makes his passions to report of him Worse then he is:  ,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 1, S 2",Chorus,Male,he will Bring his free nature to b'intrapt by them [his passions].,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 1",Alexander,Male,"I must a weightie accident impart, Which lies so heauie, as I tell you true I finde the burthen much t'oppresse my hart.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 1",Alexander,Male,"I gaue, As th'earnest of my loue to binde his firme.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 1",Alexander,Male,"Begins to play most peremptorie parts, As fitter to controule then to obay.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 1",Alexander,Male,"The faction of that home-bent cowardize, That would run back from glory,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 1",Alexander,Male,as though what breath could giue Could make mine owne thoughts other then they are.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 1",Alexander,Male,"I that am Arbiter betwixt my hart, And theyr opinion, know how it stands within, ",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 1",Alexander,Male,"find that my infirmities take part, Of that same frailty, other men liue in.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 1",Alexander,Male,"I view within his [Philotas] face, The mapp of chaunge and inncuacion:",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 1",Ephestion,Male,"heard this from your sacred tongue,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 1",Ephestion,Male,"if your grace did but withdraw, Those beames of fauour which doo daze his wits:",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 1",Craterus,Male,"to confine your fauour within boundes,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 1",Craterus,Male,"that time some passage open would,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 1",Craterus,Male,To let in those cleere lookes into that brest,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 1",Craterus,Male,"For eu'n already he is swolne so high, That his affections ouer-flowe the brime Of his owne powres, not able to deny Passage vnto the thoughts that gouerne him.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 1",Craterus,Male,"his wench that lyes betwixt his armes, And knowes his heart,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 1",Craterus,Male,"these cloudes of smooke Vanish before the sun of that respect Whereon mens long-inurd affections looke With such a natiue zeale, and so affect,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 2",Cebalinus,Male,"Yet me thinks such men, As are the eyes and eares of princes, should Not weigh so light such an intelligence.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 2",Philotas,Male,"Although they [his graces] seeme in show all of one rate, Yet by the touch I find them counterfeit, For when I speake, although I haue his eare Yet do I see his mind is other where.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 2",Philotas,Male,"when he speakes to me I see he striues, To giue a coulor vnto what is not,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 2",Philotas,Male,"have they still such eies to waite on them As are too piercing that they can beholde, And penetrate the inwards of the hart, That no deuice can set so close a dore, Betwixt their shewes and thoughtes",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 2",Philotas,Male,skorne to stand on any other feet Then these of mine owne worth,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 2",Philotas,Male,"I know my presence and accesse, Cleers all these mists which they haue raisd before: Though with my back streight turnes that happinesse.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 2",Philotas,Male,And they againe blow vp as much or more;,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 2",Philotas,Male,"Thus do we role the stone of our owne toyle, Thus do we role the stone of our owne toyle,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Antigona,Female,O heauenly powres aboue Forbid that such a thought should issue out Of this confused brest: ,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Antigona,Female,"But out alas this inconsidrate tongue, Without my hart's consent and priuitie, Hath done already this vnwilling wrong,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Antigona,Female,"that tongue That thus hath beene the traytor to my hart, Shall either powrefully redeeme that wrong, Or neuer more shall words of breath impart,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Antigona,Female,"Let not thy hart Seeme to be accessarie in a thought,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Antigona,Female,"This act may yet put on so fayre a coate Vpon my foule profession, as it may Not blush t'appeare with those of cleanest note, And haue as hye a place with fame as they.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Antigona,Female,"do I not see This faction of my flesh, my feares, my youth Already entred and haue bent at me, The ioyes of life to batter downe my truth.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Antigona,Female,"To let in feare and falshood, to my hart.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"Whose trauails no Herculean pillor stayes, But still beyond thy rest thy labors tend.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"Aboue good fortune, thou thy hopes dost raise, Still climing and yet neuer canst ascend:",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"it doth cost far more adoo to hold, The higth attaind, then was to get so hie.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"thou struggle with thine owne distrust And others iealosies,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,wrong is paid with wrong,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"The same concussion doth afflict his brest That others shooke,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"either happines dwells not so hie, Or els aboue. whereto pride cannot rise:",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male," that the hy'st of mans felicity, But in the region of affliction lies: And that we clime but vp to misery,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"It is not in that Sphere, where peace doth moue, Rest dwels below it, happines aboue.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"For in this hight of fortvne are imbred, Those thundring fragors that affright the earth.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,"From thence [hight of fortune] haue all distempratures their head:That bringes forth desolation, famine, dearth, ",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 2, S 3",Chorus,Male,there [hight of fortune] it is confusion hath her birth.,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"Is't not some vaine report borne without cause, That enuie or imagination drawes That enuie or imagination drawes",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"my fauours had deseru'd, And ought t'haue claym'd more duly at his hands Then any of the rest.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"that we call vp men from of below: From th'Element of baser property,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"Where se'ing those rayes, which being sent far off, Reflect a heat of wonder and respect,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"Within the selfe same orbe of rule with vs, Their light would shine alone if ours were set, And so presume t'obscure or shadow vs.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"But he shall know although his neerenes hath, Not felt our heat that we can burne him too.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,And grace that shines can kindle vnto wrath:,,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"now hath death, Shut vs cleene out from knowing him within: And lockt vp in his brest all th'others harts,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Philotas,Male,"Renouned prince, for that my hart is cleare, Amazement cannot ouercast my face,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Philotas,Male,"such as rather would let out their owne Hart bloud,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Philotas,Male,(For which I rather tooke the baite was laide: Then els for any treachery at all.),,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Philotas,Male,"I thought the safest way, To smoother it a while, ",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Philotas,Male,"Protesting that mine owne vnspotted thought A like beliefe of others truth did breed,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Philotas,Male,"O dread Sou'raigne do not way Philotas faith by this his ouer-sight. But by his actions past,",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Philotas,Male,"O sacred hand the witnesse of my life, By thee I hold my safetie as secure, As is my conscience free from treacherie.",,,,,,,
Philotas,Tragedy,1604,Samuel Daniel,"A 3, S 1",Alexander,Male,"by arte His lookes stand newtrall, seeming not to hold Respondencie of int'rest with his hart.",,,,,,,
